"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","beta_true","sigma_true","freq"
"66",6,154,32,23,42.511693805234,4.28310301357899,0.11206690092358,0.00749589450308413,0.169597100140501,1,0.245824738343557,46.586,5.75519355896572,0.145320501674788,0.0159896197835506,0.0602263464621855,10.4679719726101,0.0952889795859163,15.0532282233238,878.203213507144,340.786102583904,1,1,50,0.2,0.18,270
"67",7,169,35,24,46.4615609010108,4.40904829550266,0.11167966248772,0.00676854145059021,0.172388943354691,1,0.269693013032277,48.8496,5.05232523063336,0.127797162886833,0.0107517132631553,0.0964564653947722,25.030099246976,0.107449103712797,17.9501736919085,1110.80651549124,350.56615380453,1,1,50,0.4,0.18,270
"68",8,145,37,25,52.0469208578138,5.19761561700117,0.109984489323142,0.00696029962101442,0.141627378989417,1,0.194253814220428,53.498,5.58391153468703,0.11895705549347,0.00895338317663536,0.106073329536373,25.8161568659818,0.155365440723583,16.4868715604146,1579.93204336835,477.136473210789,0,1,50,0.599999999999999,0.18,270
"69",9,149,40,24,49.189519064848,4.10887391959126,0.148867971041224,0.0113234044710143,0.093488903350607,1,0.207049405574799,50.618,4.40216169751231,0.155060379723147,0.012748016521184,0.0781151046544586,40.0855014717376,0.143812683626768,16.3544987042745,1072.98788599566,412.611916197909,1,1,50,0.8,0.18,270
"70",10,116,35,25,50.6753014074029,5.70971640791968,0.124987027577586,0.0105402386258701,0.0849648996959111,1,0.162456532319387,45.9812,4.84650822931383,0.165056776634446,0.0325225616053426,0.0619247428382068,3.05413555047599,0.497009774132368,12.7594926436742,460.263394030177,100.878038908705,0,1,50,1,0.18,270
"71",1,91,21,21,35.0880313511301,5.33447859144016,0.0790089428681461,0.006057237706936,0.233617771654877,1,0.110414489110311,42.19,8.1025527177685,0.100752962408678,0.0148922868671857,0.0737177213472292,10.4699815433894,0.0997233194469665,9.93606996933619,751.114454965128,233.93928495335,1,1,50,0.2,0.12,135
"72",2,90,31,25,53.2077414667026,7.17258234711247,0.0883677482504623,0.00740999666604752,0.141527628684528,1,0.102043743928274,66.6964,11.4154435735451,0.0991446371485543,0.0119733361382537,0.0641725827043696,15.2049856954249,0.102876006392418,13.6682561556498,706.483148531837,299.216189735445,0,1,50,0.4,0.12,135
"73",3,60,25,21,46.8015363838378,7.70013582888456,0.0905062735329222,0.00969138515336436,0.100927085129491,1,0.0802521785100301,52.2704,10.0983798081623,0.0958992720613132,0.0128704624252296,0.0755786134920769,18.4000946911583,0.173481153022164,9.91850728591283,698.248016574506,342.914371750137,1,1,50,0.599999999999999,0.12,135
"74",4,73,28,25,52.3122062701027,7.7694772265985,0.0830548323212859,0.00758570316966562,0.130492648620722,1,0.0895270228385925,53.6552,8.3834853187941,0.0896719041205518,0.00957139088653112,0.107075287377475,9.05802024276601,0.357651084057119,10.5912880897522,921.955900259819,389.79354207962,0,1,50,0.8,0.12,135
"75",5,104,34,24,54.8279132869693,6.66193354564436,0.101026231967765,0.00767896759122125,0.113828024864115,1,0.142232843240102,54.97,7.2378211100972,0.114624123956671,0.0114108357134054,0.0837111522383186,15.0841735610336,0.197337091178501,13.0459940314293,954.860200264716,388.36426781355,0,1,50,1,0.12,135
"76",6,235,30,22,48.1219579011233,5.65416447966699,0.0660348574513464,0.00265991189730855,0.690225083665128,1,0.285856699943542,55.57,7.52125838747031,0.0810214018191022,0.00641384451423857,0.156017167140304,36.9927761881365,0.0629913487636558,20.435109992822,1405.29243581608,330.152983904765,0,1,50,0.2,0.12,270
"77",7,183,30,25,44.573366124448,4.99220646889611,0.080493083742412,0.00381343900499962,0.392345647042847,1,0.23109849691391,48.7804,6.235681946005,0.0889359104125121,0.0064847258095562,0.182612858093423,32.0037074091713,0.102031688459651,17.2012154340744,1451.06081908707,379.721933465008,1,1,50,0.4,0.12,270
"78",8,169,30,24,42.5154305595669,4.60399119039829,0.0880057364836757,0.00469899554885258,0.334010075812812,1,0.227837340037028,44.8572,5.34260475144962,0.0977950385805122,0.00769548678839776,0.182666026158864,46.7938246692194,0.0967282223394159,16.0359853188197,1000.4296970797,439.526457734629,1,1,50,0.599999999999999,0.12,270
"79",9,188,32,24,44.7682582704167,4.61333565792991,0.0909694866089357,0.00450693156853558,0.307662506827114,1,0.289961171150208,48.3264,5.64026489406571,0.101756654806606,0.00755964096701795,0.149110509386652,18.0027390895555,0.127962817982841,17.7311873793602,1433.49426731131,378.197906881585,1,1,50,0.8,0.12,270
"80",10,156,37,25,56.962312008302,6.11396625444204,0.0905246749797978,0.00534506161808353,0.19768113306805,1,0.19453280766805,58.5972,6.88141654875557,0.104613078816897,0.00785153107394784,0.11476043841247,21.8058226828109,0.133889914218703,16.9815165599187,1278.00403065919,497.192106649276,0,1,50,1,0.12,270
"81",1,74,31,19,58.9759391807728,8.61192241330765,0.0848172059181089,0.00792745066917772,0.116227775926047,1,0.0713814377784729,68.2824,11.8439673279196,0.10216287697496,0.0134889140410758,0.0574082077186777,12.968036236213,0.14020563407649,12.2090071201324,600.672151227408,297.460172614243,0,1,50,0.2,0.18,135
"82",2,89,35,25,50.827878589256,6.27947406041118,0.149974690040222,0.0159044609807458,0.0513467114825897,1,0.0996134161949158,54.272,7.53115551036682,0.164292886917851,0.0222937299200186,0.0381476657506343,11.0167163565444,0.160512863281176,12.4797850290934,829.537985972967,255.008128457139,0,1,50,0.4,0.18,135
"83",3,88,32,19,48.1250132883717,6.12437054910793,0.125656640794191,0.0121566948218014,0.0742635215273861,1,0.115045507748922,53.1188,7.49837160927066,0.131928446866902,0.0158995766968162,0.0554568895128769,9.53704909190924,0.186677150515768,11.7075211842855,883.591358342682,304.06978174719,0,1,50,0.599999999999999,0.18,135
"84",4,80,31,25,46.4349915153107,5.99647327651871,0.125357563856967,0.0120647352936716,0.0756716291278229,1,0.0825087944666545,48.7844,6.5704173987592,0.129354820135852,0.0136321976630908,0.0661466623266272,20.6241729455766,0.239948008249429,10.6943450808525,915.161014471523,477.916444832533,1,1,50,0.8,0.18,135
"85",5,78,30,24,41.8314135022295,5.20553421652337,0.150040721063504,0.0157190609636582,0.0577826024747422,1,0.103336520989736,42.1112,5.23406082474085,0.174443586168972,0.0263857987870467,0.0443645235732576,1.90911576802613,0.516919904783419,9.89343705574671,1129.28445841765,226.126067360446,1,1,50,1,0.18,135
"86",6,134,22,22,28.2100895161974,3.3548236985483,0.106909034144944,0.00828228518445534,0.243260109233701,1,0.151127123832703,32.7628,5.03323648836602,0.124464585230543,0.015219138349182,0.0893851928495307,32.808339420237,0.0661390587317962,11.8467641313871,687.098768634317,234.441838606081,1,1,50,0.2,0.18,270
"87",7,133,30,25,34.8667586135607,2.84967293713688,0.151542748436399,0.0116042532732367,0.116902964445346,1,0.203277945518494,37.022,3.5783009508813,0.16033572199364,0.0146019721129054,0.0801270122712537,17.5866218318297,0.137541297617402,12.7849410454432,1201.93228982311,410.511528667322,1,1,50,0.4,0.18,270
"88",8,156,34,24,44.8865905102745,4.34908725281093,0.115704368802846,0.00750087737782137,0.1554177400476,1,0.212114850680033,44.852,4.37329924639504,0.12716188591331,0.00991053322438314,0.120794673223149,50.8976247532332,0.119755251508114,15.9107726812363,1215.30692074031,430.187334401932,0,1,50,0.599999999999999,0.18,270
"89",9,168,40,25,45.2571962908093,2.93705688109328,0.17487077491032,0.0122467804260918,0.0882102086105967,1,0.266103625297546,46.902,3.39685316794498,0.185067579754128,0.0148152063361323,0.0658047840321836,40.8593822443732,0.0990544049319966,17.6108184456825,1347.42278400509,357.923247009945,1,1,50,0.8,0.18,270
"90",10,131,36,25,43.290504638538,3.62466558214154,0.159183507381263,0.012458179256034,0.0848684959579516,1,0.201576884587606,45.744,4.15092231466995,0.152883220842697,0.0136878367747927,0.0807486726096894,2.35323178173144,0.532006362582034,14.2512533267339,1299.95401931166,328.98465627417,1,0,50,1,0.18,270
"91",1,82,21,19,40.4066889952786,6.53944160838045,0.0593476603436717,0.0047633277580574,0.370450919406913,1,0.0961590846379598,49.6652,9.75585873574791,0.0756555773702783,0.0110350026287604,0.108052845285655,11.4107408602566,0.116362494017852,10.1552668690681,795.040693725878,216.970982447996,1,1,50,0.2,0.12,135
"92",2,67,24,21,38.6275399453743,5.86229133657462,0.101004244341661,0.0102315118213154,0.114630643364901,1,0.0887340943018595,39.9544,6.56919952452026,0.116302585991324,0.0138123757426298,0.0780639015272561,7.62625056511312,0.227790387867297,9.21027100880941,986.351574382103,366.824846612825,1,1,50,0.4,0.12,135
"93",3,55,23,18,44.6593390080288,7.72193104132094,0.0798075829475895,0.00886695358347397,0.13082523524031,1,0.0692201574643453,48.9812,9.97921241542502,0.0946586521819607,0.0132324752760722,0.0772936087354387,8.62890227152088,0.208383832460891,9.01242945988973,658.711665615942,331.322722338745,1,1,50,0.599999999999999,0.12,135
"94",4,70,29,23,49.1008469384561,7.58277943644656,0.114219348200411,0.0131069384612843,0.069258207953769,1,0.119698508580526,50.926,8.59658563115645,0.132843250311805,0.026473301335387,0.0512142734356555,6.44248934456833,0.358750337842489,10.1190401275953,387.399923243015,105.394685523311,0,0,50,0.8,0.12,135
"95",5,104,28,25,40.5065308035462,4.9714565122599,0.116834405193051,0.00987922272677456,0.104449259468893,1,0.0770442883173625,39.308,4.66049612054724,0.135017628390812,0.0142272620307183,0.0826892497054312,2.67160326342024,0.400288388324312,11.1500046491623,934.70468585462,339.015314902796,0,0,50,1,0.12,135
"96",6,159,29,21,58.7119241648515,8.04096290050836,0.0468379542643236,0.00250969822234446,0.811012166832517,1,0.174572877089183,70.804,11.8213316319534,0.0645040068767875,0.00630218189643577,0.143916228230156,26.9664957295593,0.073281785922178,17.5015668551127,742.142438408623,293.494939752157,0,1,50,0.2,0.12,270
"97",7,192,28,24,40.3095967327466,4.6142241122276,0.0818829681948971,0.00441580643016727,0.433727757616253,1,0.224948159853617,44.3548,5.84124687254446,0.0983865868634805,0.00877362223828921,0.142768299251208,28.981829830304,0.078810776738169,16.7730732957522,737.149274933836,301.00653556865,1,1,50,0.4,0.12,270
"98",8,198,34,25,50.1453734920518,5.27439953360612,0.0869855760156632,0.0042867048399812,0.284853419400594,1,0.301209195454915,56.044,6.66878197733473,0.0948416438021912,0.00683760651781553,0.140213679009233,30.0990355676977,0.0944483813834144,19.840184366703,1496.90755993599,442.084866923238,0,1,50,0.599999999999999,0.12,270
"99",9,181,32,25,42.9569270111704,4.24148969328907,0.0984494264261779,0.0051640894494987,0.270146729914303,1,0.283018366495768,45.208,4.90762365182612,0.106502763931466,0.00739961600380292,0.167511723643683,10.5762069416088,0.202022843949471,16.8176956971486,1287.16705801053,448.157521895412,1,1,50,0.8,0.12,270
"100",10,131,32,25,41.3748480132745,4.04927672567336,0.118872864812312,0.00821615929448671,0.155276100663096,1,0.185092091560364,45.5516,5.13944578735884,0.120560356422239,0.00989773153800907,0.107666830887726,28.2561041161656,0.124458118775054,14.0172672669093,1673.85142889294,429.112832817209,1,1,50,1,0.12,270
"101",1,94,29,23,46.351335322759,6.09528780958221,0.105311192892452,0.00905648250219127,0.103060273709543,1,0.136330620447795,51.4644,8.23464974498424,0.12654145280105,0.0164201604156378,0.0534084761599948,8.34032230463569,0.134966957731718,11.5180909236272,781.487950010989,256.740994604183,1,1,50,0.2,0.18,135
"102",2,82,30,20,48.2453881932947,6.57336507774943,0.113496511498533,0.0108918583640246,0.0811995901247057,1,0.157403000195821,49.8244,7.74301920303388,0.130846488919856,0.0227461613545685,0.0590397241743667,15.5007271532468,0.20940118879627,11.154783308506,333.588639638588,130.575003351113,1,1,50,0.4,0.18,135
"103",3,72,31,23,53.5328473545745,8.25169820656225,0.126794233958174,0.0154732800106086,0.0503571181219027,1,0.112313636144002,54.6024,9.64596973522378,0.146203953670118,0.0227563964280403,0.0391770892640259,21.928580954377,0.149466274691727,10.9686213731766,628.543751728885,263.443652892921,0,1,50,0.599999999999999,0.18,135
"104",4,62,32,24,54.3062981082005,8.81676071730728,0.141961553398204,0.0175740913892099,0.0398310910616717,1,0.0699249664942423,61.364,10.3663729759,0.189059344431322,0.0544203463124478,0.0219646799787118,0.505516070967686,0.812983734154174,10.6975235382716,772.333940244576,56.4198233816201,0,1,50,0.8,0.18,135
"105",5,76,35,23,54.0036202176187,7.31834096096414,0.152167664204407,0.0172097727953543,0.0422220950529397,1,0.0846343755722046,56.228,7.44175838812057,0.167965990469292,0.0294306385929937,0.0350209074629711,0.774894959677066,0.883027797611425,11.4891898751259,1228.61546425068,104.877616796899,0,1,50,1,0.18,135
"106",6,154,32,24,48.0100068165887,5.45119629372817,0.0835895850733616,0.00507958319969961,0.311272488129234,1,0.207504455248515,53.3868,6.92973262382432,0.0987366441269172,0.00889074526421024,0.118746400980267,31.3178524548777,0.0787684461968603,17.5241795738538,803.841320790924,363.670048765386,0,1,50,0.2,0.18,270
"107",7,147,32,25,40.7129301798842,3.77405932863034,0.121983147677158,0.00779910807354027,0.152831949579067,1,0.235570355256399,42.136,4.32890283558132,0.1360745408257,0.011130550571307,0.0980909552465581,16.451664135821,0.146236309952403,14.4523088693619,1348.68073834018,406.500903479453,1,1,50,0.4,0.18,270
"108",8,180,40,24,53.9813084658351,4.95819600813308,0.113241709950981,0.00691872354333392,0.152208183525318,1,0.200462317466736,56.6752,5.75852144110579,0.123460355984182,0.0097029370988908,0.101246084464516,21.629632147964,0.136618720274504,19.3706109801928,932.150876202509,429.877756139046,0,1,50,0.599999999999999,0.18,270
"109",9,119,35,24,46.9970538360081,4.82471970497282,0.128938703472026,0.0101231766655463,0.101065237342051,1,0.142998611927032,48.9956,5.28836149926788,0.140145465535945,0.0127245191483354,0.0735925900537883,17.6474209006358,0.159871904175341,13.8399597605069,1075.01606097891,443.121418394207,1,1,50,0.8,0.18,270
"110",10,151,34,25,44.8719997282742,4.34750718191792,0.127127156866549,0.00904954245010192,0.113161797082685,1,0.212813913822174,44.396,4.2196571190656,0.142136821241602,0.0117772987735872,0.088327212671254,18.2436966139813,0.18750999599038,15.037819536527,1063.06129897093,437.734538474907,0,1,50,1,0.18,270
"111",1,88,22,20,38.4823130701636,5.82968355294278,0.0748342423927596,0.00554893921416983,0.235061677977105,1,0.103568255901337,45.502,8.62181711080192,0.0923772037166295,0.0117347535155337,0.0850111147690227,9.66561517567064,0.119645955948282,10.1445770303408,772.293600027079,300.087482505144,1,1,50,0.2,0.12,135
