,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,N,N_se,sigma,sigma_se,lambda0,beta,r,runtime,ess_N,ess_sigma,N_better,sigma_better,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
940,57,28,22,50.74993101,8.708775239,0.121860334,0.015547671,0.049749979,1,0.062695205,52.118,8.731745149,0.135922724,0.022265724,0.041591882,1.384131049,0.727626392,9.461631187,934.0696989,245.4057778,0,1,1,0.18,0.005,0.5,50,0.024560948,1
941,130,30,23,51.44794683,6.484588068,0.07320425,0.004227521,0.280673375,1,0.150528769,46.3332,5.985023472,0.103911307,0.016116401,0.14128493,0.134747836,0.590297319,12.73287278,525.5878891,135.5591349,0,1,0.2,0.12,0.01,0.5,50,0.110524266,1
942,151,36,23,55.55651929,6.031606455,0.090459766,0.005231844,0.196177183,1,0.174575508,54.032,5.892848739,0.110178381,0.012072108,0.119484623,0.56770014,0.501736002,15.42968849,1127.432519,228.5298681,1,1,0.4,0.12,0.01,0.5,50,0.110524266,1
943,174,42,25,63.19241856,6.245231628,0.093358242,0.005057619,0.194073496,1,0.205869973,62.6168,6.499327216,0.105228396,0.010237579,0.141737702,0.66024427,0.555545231,17.33170562,602.5045508,262.8696416,1,1,0.6,0.12,0.01,0.5,50,0.110524266,1
944,164,36,25,46.98494485,4.364751992,0.118434977,0.007693849,0.150688081,1,0.211505473,48.06,4.396195015,0.130736047,0.012726211,0.105698242,0.630940372,0.50861434,15.34272007,1596.39833,322.2844693,1,0,0.8,0.12,0.01,0.5,50,0.110524266,1
945,170,38,24,47.74163029,4.073252706,0.127065188,0.008174382,0.140745965,1,0.207522476,50.9256,4.65135665,0.126503012,0.010297466,0.114913748,0.869509749,0.552999909,16.19356513,1700.411454,368.2588559,1,1,1,0.12,0.01,0.5,50,0.110524266,1
946,191,39,25,53.54263051,5.035036608,0.112753029,0.006727164,0.143612067,1,0.205176473,52.6308,5.099970121,0.132276819,0.020076253,0.103566156,0.196327042,0.678758896,17.70389525,501.5313859,111.9991191,1,1,0.2,0.18,0.01,0.5,50,0.049121896,1
947,146,40,25,51.7629486,4.92277711,0.14684683,0.012922212,0.078993797,1,0.160903903,51.4392,4.394135493,0.193061638,0.029459567,0.044530002,0.397884336,0.514304116,14.84241993,1344.507469,143.8735615,1,1,0.4,0.18,0.01,0.5,50,0.049121896,1
948,152,34,25,44.30634675,4.347385159,0.127024802,0.009537329,0.119606085,1,0.224641283,41.9192,3.456797816,0.160454637,0.017386867,0.080345358,0.870456193,0.553536226,13.70230673,1652.212043,284.2450201,0,1,0.6,0.18,0.01,0.5,50,0.049121896,1
949,140,41,25,48.80092529,3.916988193,0.182481493,0.015984452,0.06099334,1,0.176349167,52.4272,4.442498675,0.200539747,0.025639437,0.039972037,0.816871369,0.447871483,16.03186028,1724.480944,187.8435476,0,0,0.8,0.18,0.01,0.5,50,0.049121896,1
950,144,39,23,54.74976535,5.659878225,0.13406449,0.011369484,0.076849026,1,0.202560989,50.3052,4.594485464,0.183418673,0.024050924,0.048740706,0.880950443,0.519995088,14.89356798,905.5336892,191.9904175,1,1,1,0.18,0.01,0.5,50,0.049121896,1
951,165,25,16,53.36874604,8.072935746,0.042196992,0.002021482,0.929465538,1,0.107750972,45.0448,9.337926521,0.108649343,0.036353381,0.107761588,0.023440552,0.345882492,13.52658089,152.6045855,35.97735626,0,1,0.2,0.12,0.005,0.25,50,0.055262133,1
952,181,32,19,59.75296687,7.474947374,0.05644817,0.002369711,0.556719436,1,0.15913976,53.7936,8.736997945,0.127430301,0.027112863,0.063807582,0.287450364,0.263802406,16.66337829,296.1189984,71.93495432,1,1,0.4,0.12,0.005,0.25,50,0.055262133,1
953,92,24,21,42.28869868,6.144380502,0.070745198,0.004922242,0.282917303,1,0.088632703,39.8432,7.276138443,0.132240155,0.027707965,0.060999617,0.455666874,0.305627936,8.753432417,426.1216559,106.212508,0,1,0.6,0.12,0.005,0.25,50,0.055262133,1
954,116,29,19,48.64546459,6.26284495,0.080416316,0.005213753,0.214634669,1,0.125345055,48.0296,8.269466577,0.149833216,0.026201424,0.043116213,0.707977927,0.225237188,11.77277953,344.233171,144.6591288,0,1,0.8,0.12,0.005,0.25,50,0.055262133,1
955,86,28,24,53.94949741,7.779204659,0.071487482,0.00562917,0.188203844,1,0.107551459,53.8164,9.122981012,0.095628561,0.012975083,0.091609682,1.907764475,0.340638158,11.15887753,718.1474154,241.217536,1,1,1,0.12,0.005,0.25,50,0.055262133,1
956,77,25,20,49.57256511,7.639863588,0.06773207,0.005452598,0.202077379,1,0.087876999,46.924,10.74379801,0.152111321,0.055523731,0.040447579,0.207656163,0.319236613,9.639224744,202.6455284,40.4670573,0,1,0.2,0.18,0.005,0.25,50,0.024560948,1
957,70,29,20,54.53075035,8.399856219,0.100818997,0.010458799,0.074208778,1,0.075241073,61.0988,13.15771594,0.209708888,0.061482684,0.015745723,0.436400568,0.214915855,10.39562091,461.1197914,85.33718957,0,1,0.4,0.18,0.005,0.25,50,0.024560948,1
958,61,28,20,63.03145849,10.38866602,0.064467637,0.006531495,0.157104158,1,0.068658348,62.2144,11.87693804,0.093838702,0.019031975,0.075047449,0.700435139,0.509582955,10.33010492,487.6514269,140.531224,1,1,0.6,0.18,0.005,0.25,50,0.024560948,1
959,70,25,23,33.27211882,4.350261574,0.162158614,0.019665248,0.054726839,1,0.080734972,36.7232,5.023850853,0.193105824,0.031188966,0.031406224,1.419796319,0.242491285,8.681374474,1282.662732,270.0571761,1,1,0.8,0.18,0.005,0.25,50,0.024560948,1
960,71,29,22,49.17987308,7.818280511,0.12196262,0.01525329,0.058034227,1,0.115254402,51.3716,9.460259618,0.163270426,0.032053993,0.031011024,1.251278475,0.26885773,9.733580391,548.9094544,159.7568713,0,1,1,0.18,0.005,0.25,50,0.024560948,1
