,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
358,76,32,21,59.91922855,8.99172971,0.098546535,0.010247521,0.079706586,1,0.102319221,393.4804283,60.44891527,10.46180453,0.141282085,0.024391775,0.031693477,0.597591442,0.300350439,1,0.424462032,20,356.6208248,0,1,4096,0.6,0.18,0.005,0.25,50,0.024560948,1
359,70,26,23,46.92129009,7.22883938,0.095234592,0.009468496,0.096614711,1,0.074049711,352.6065639,38.01660744,7.545342616,0.452158133,0.206654707,0.007413727,0.783185531,0.119854144,1,0.405547229,20,304.3467967,0,0,4096,0.8,0.18,0.005,0.25,50,0.024560948,1
360,82,32,23,44.05158438,5.359802938,0.147449225,0.014793917,0.06299078,1,0.114291243,441.1888612,48.45019653,6.756080445,0.187570973,0.030020352,0.026812827,1.053228558,0.219373666,1,0.510463695,20,363.3985074,1,1,4096,1,0.18,0.005,0.25,50,0.024560948,1
361,504,39,20,70.03266753,7.660360493,0.049565348,0.001266256,1.69802366,1,0.280219611,810.4186682,56.99719201,8.781653774,0.096219443,0.018480012,0.188920629,0.262471263,0.316749753,1,4.000023667,20,491.8489087,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
362,375,35,22,64.49452476,7.586603662,0.048910252,0.001460097,1.444821025,1,0.196521095,693.6442394,56.38058845,9.03439936,0.103286405,0.017651401,0.103697864,0.438052888,0.231444246,1,2.672605964,20,439.8324669,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
363,397,37,25,53.69631768,5.140760183,0.074732972,0.002205787,0.678640145,1,0.303412096,1097.88648,45.63047934,4.367499133,0.153749884,0.020562761,0.080172734,0.62524088,0.208847646,1,2.719106166,20,596.7721521,0,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
364,390,40,25,59.70319232,5.664208346,0.071265157,0.002115273,0.737703485,1,0.378756777,1067.542667,52.28600999,5.354872559,0.122181456,0.015241448,0.128905431,0.661127961,0.277871647,1,2.687678397,20,664.022149,1,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
365,277,37,23,62.3016829,6.79481793,0.060744009,0.002223143,0.786888053,1,0.21912847,772.5110134,59.71335443,7.438074803,0.089763694,0.009427188,0.162731514,0.907753948,0.316058454,1,2.12183003,20,558.7004498,1,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
366,266,40,21,69.47328597,7.429589732,0.062773636,0.002207928,0.527095134,1,0.267950718,840.5154449,51.73462542,4.864153902,0.143478688,0.024811218,0.081578145,0.154388349,0.315064829,1,2.103900679,20,630.9342592,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
367,218,41,24,57.93333033,5.333091052,0.101875641,0.005042361,0.183329125,1,0.278960903,921.498058,51.54060779,4.304118081,0.198344811,0.029665375,0.039051865,0.42231271,0.223324768,1,1.617524505,20,660.9578832,1,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
368,193,39,25,54.66279127,5.180437293,0.10142618,0.005432788,0.193379325,1,0.257150153,813.5036398,49.99001978,4.420219785,0.174177273,0.022775658,0.049995489,0.450581543,0.265563751,1,1.389314882,20,624.5238371,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
369,181,42,23,54.0161947,4.667975465,0.12295496,0.008201657,0.141364368,1,0.208348747,821.6529578,53.04904837,4.456721508,0.188257086,0.023416119,0.043505958,0.684029436,0.238784685,1,1.257107313,20,618.6743062,1,1,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
370,143,39,24,51.48500183,4.95904592,0.132930145,0.010462447,0.098260835,1,0.180242777,697.4026517,51.05984129,4.994690749,0.193267241,0.024000296,0.036514909,1.122677488,0.217692255,1,0.970729431,20,564.50547,1,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
371,54,19,20,33.91694277,5.886556855,0.085630461,0.00861405,0.137216916,1,0.06054649,258.7174146,30.83611354,5.440525926,0.130575877,0.028152667,0.052206875,0.33141548,0.45074802,1,0.415414238,20,242.2647742,0,1,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
