,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,N_true,beta_true,sigma_true,freq
666,6,174,35,25,44.75947669,4.096526412,0.120636089,0.007885922,0.155137685,1,0.188461721,759.2659484,50.2788748,5.997118087,0.131982153,0.012819383,0.072250921,28.89414882,0.067001326,1,1.1441414,20,444.8577649,1,1,4096,50,0.2,0.18,270
667,7,125,31,25,40.03655081,4.156192362,0.126896124,0.01038447,0.124717237,1,0.170846426,584.8769428,41.95910255,4.973342854,0.136643256,0.013954429,0.079073186,15.78771377,0.130345982,1,0.944266589,20,473.9919405,1,1,4096,50,0.4,0.18,270
668,8,178,39,25,48.03247463,3.986639937,0.135303177,0.009420197,0.125295255,1,0.223567796,819.3483545,47.90829745,4.123760834,0.145575486,0.011583984,0.095948599,24.54291511,0.148100174,1,1.284757598,20,711.5711644,0,1,4096,50,0.6,0.18,270
669,9,212,42,25,50.12596203,3.623327086,0.147936494,0.009635894,0.109703521,1,0.285907896,985.7766884,49.99415535,3.758178739,0.16008356,0.012398774,0.083540117,25.43540339,0.1303655,1,1.440074376,20,839.4033,1,1,4096,50,0.8,0.18,270
670,10,168,40,25,47.15770026,3.558036559,0.156917153,0.011611067,0.097355534,1,0.190882365,816.8061998,46.44171693,4.07698992,0.171508409,0.018000263,0.076889367,11.30503906,0.210501758,1,1.338514749,20,730.213747,0,1,4096,50,1,0.18,270
671,1,87,24,18,46.54736216,7.02778298,0.059785328,0.004001256,0.345139304,1,0.087771082,341.9238427,56.05633771,12.42303142,0.099258857,0.015337483,0.04794317,8.97879311,0.081007173,1,0.62284346,20,208.7817267,0,1,4096,50,0.2,0.12,135
672,2,72,24,20,41.75147306,6.378138406,0.086102256,0.007917393,0.147027454,1,0.06433241,337.9247695,44.68683443,8.512564502,0.109542948,0.016144668,0.059624479,6.068221045,0.148916232,1,0.512389056,20,272.7514592,1,1,4096,50,0.4,0.12,135
673,3,73,27,23,45.81393519,6.539112468,0.091676417,0.00806377,0.130715719,1,0.070762833,354.9027547,46.62153315,7.184875905,0.102038246,0.010796442,0.087118506,43.5084695,0.106587469,1,0.573446695,20,309.5231164,1,1,4096,50,0.6,0.12,135
674,4,63,27,20,49.06053197,7.755245072,0.084469415,0.008809809,0.135205613,1,0.073235965,309.6514754,49.70245278,8.347004374,0.092438491,0.010748557,0.096842568,47.36834016,0.12511871,1,0.388609787,20,281.7391152,1,1,4096,50,0.8,0.12,135
675,5,92,30,22,53.89891481,7.326692448,0.079910639,0.00611906,0.167763148,1,0.101335514,423.3809336,54.15823808,7.579653737,0.085866874,0.007346293,0.127464691,31.23393175,0.173237822,1,0.668872007,20,388.4088865,0,1,4096,50,1,0.12,135
