,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
361,1,609,35,25,68.16680524,8.315220597,0.058790344,0.001588997,1.299427846,1,0.401841231,1180.665405,47.92872026,6.168579822,0.143245334,0.033013402,0.078045205,0.255363285,0.211607188,1,5.368229183,20,699.3515819,1,1,4096,0.2,0.12,0.01,0.25,50,0.077563815,1
362,2,578,38,24,75.58624248,8.971061053,0.057644725,0.001656856,1.266799165,1,0.351376112,1142.998774,50.34011956,5.676781654,0.155218405,0.034650046,0.068036247,0.322855963,0.201582925,1,5.018664896,20,736.8087358,1,1,4096,0.4,0.12,0.01,0.25,50,0.066059259,1
363,3,424,36,25,61.6627406,6.926564086,0.069708251,0.002090529,1.004084979,1,0.334169638,1069.849602,51.90186964,6.308902882,0.130327496,0.020336773,0.089859587,0.75061053,0.225998942,1,3.022950681,20,680.4472243,1,1,4096,0.6,0.12,0.01,0.25,50,0.09370182,1
364,4,420,35,24,61.61310368,7.177167213,0.069392322,0.002350239,0.845196899,1,0.389651903,1051.434877,56.13476371,7.104541417,0.102054139,0.011315717,0.156134583,0.956660776,0.298594154,1,3.078302411,20,698.8915377,1,1,4096,0.8,0.12,0.01,0.25,50,0.152812501,1
365,5,362,31,22,44.41749326,4.735849689,0.087644962,0.003180228,0.702476014,1,0.381258706,1053.575563,40.69510149,4.255486773,0.164299262,0.022560351,0.058586038,1.245704154,0.165437721,1,2.680173532,20,594.3764495,0,0,4096,1,0.12,0.01,0.25,50,0.058958837,1
366,6,361,43,25,75.9293636,8.015906812,0.075976029,0.002435488,0.457501521,1,0.361597995,1138.269427,57.28958841,5.355746074,0.185987257,0.038568002,0.040076725,0.196242627,0.230292965,1,2.66693784,20,858.9916573,1,1,4096,0.2,0.18,0.01,0.25,50,0.046010161,1
367,7,300,35,24,62.5372917,7.487537101,0.075024685,0.003066345,0.459165191,1,0.320871083,942.6159879,51.6658713,6.821942446,0.126638477,0.021943248,0.091392446,0.503038704,0.334111023,1,1.971318726,20,747.0709607,1,1,4096,0.4,0.18,0.01,0.25,50,0.099240461,1
368,8,206,34,23,57.96876687,6.947339689,0.088934788,0.004308717,0.233949081,1,0.295056506,802.0904146,46.04784782,4.935057386,0.18538158,0.032789343,0.038208184,0.619869357,0.248304722,1,1.302208332,20,656.2525631,1,1,4096,0.6,0.18,0.01,0.25,50,0.0463113,1
369,9,329,41,25,53.88125803,4.606069558,0.115264592,0.005311414,0.238323901,1,0.42557497,1255.668899,48.12045456,3.350335934,0.220984532,0.032529429,0.040194035,0.850566934,0.216727443,1,2.31380175,20,932.2434143,1,1,4096,0.8,0.18,0.01,0.25,50,0.032590902,1
370,10,278,43,25,52.15685097,4.086751145,0.131454812,0.00789245,0.201574386,1,0.296653541,1135.207193,52.07117217,3.895806405,0.211368552,0.029341786,0.039856995,1.117133094,0.212608871,1,1.794297504,20,852.6457356,1,1,4096,1,0.18,0.01,0.25,50,0.03562373,1
371,1,124,27,22,65.53905519,10.65257036,0.070679694,0.004997896,0.198380159,1,0.176922838,496.8638082,47.24980266,8.772250038,0.136541085,0.034300057,0.051250538,0.246623899,0.504532742,1,1.212539689,20,475.6739984,1,1,4096,0.2,0.12,0.005,0.5,50,0.042683835,1
372,2,92,27,25,64.21664688,10.82722865,0.080493923,0.006779612,0.129837008,1,0.136582688,418.5134534,58.06342428,11.18192123,0.116858884,0.024904441,0.04941644,0.444617602,0.50861906,1,0.6880132,20,394.3656849,1,1,4096,0.4,0.12,0.005,0.5,50,0.058272905,1
373,3,94,25,22,57.28811992,9.85881552,0.084970128,0.007178346,0.120385344,1,0.128858495,427.8271857,44.35658522,8.554895264,0.144313848,0.030097237,0.041761858,0.872557423,0.406147264,1,0.726645939,20,397.6123285,1,1,4096,0.6,0.12,0.005,0.5,50,0.038209743,1
374,4,103,30,25,72.52928862,11.55975977,0.07932802,0.006144016,0.129793004,1,0.167566033,471.1922698,61.46924411,12.33483154,0.121847968,0.028615238,0.04900005,0.677910236,0.456752545,1,0.837796064,20,439.6367968,1,1,4096,0.8,0.12,0.005,0.5,50,0.053598613,1
375,5,73,19,22,45.9508671,9.65099407,0.077635689,0.008337054,0.140177816,1,0.109805715,318.0040622,35.05367246,16.66953994,0.440497981,0.322440228,0.004977803,0.441538761,0.149611551,1,0.51274418,20,293.2994736,0,0,4096,1,0.12,0.005,0.5,50,0.004101118,1
376,6,96,31,25,72.11855823,11.76371432,0.093465551,0.008096792,0.083043908,1,0.103988866,475.2556767,55.48792558,9.675936296,0.179805899,0.055153532,0.022766691,0.279736145,0.494440784,1,0.788687138,20,456.2050926,1,1,4096,0.2,0.18,0.005,0.5,50,0.024614004,1
377,7,55,19,17,40.03716716,8.820316122,0.107810518,0.014498732,0.068203779,1,0.071776664,280.8217862,36.0132525,8.422468286,0.131176566,0.029840537,0.046809274,0.779112885,0.692938949,1,0.521540145,20,274.0561289,0,1,4096,0.4,0.18,0.005,0.5,50,0.046246367,1
